car_id,average_travelled_distance,average_time_spent_travelling,average_time_spent_waiting
1341,2.5,10.5,0.0
955,2.0,3.0,0.0
623,1.0,2.0,0.0
998,4.0,14.5,0.0
390,14.0,25.25,0.0
500,8.0,9.0,0.0
1718,2.0,3.0,0.0
1506,29.5,41.5,0.0
929,6.0,7.0,0.0
897,17.0,28.0,14.5
1207,30.5,42.0,0.0
585,9.0,10.0,0.0
410,2.0,3.0,0.0
590,5.0,6.0,0.0
923,9.0,10.0,0.0
837,13.5,26.0,0.0
1805,39.5,54.0,0.0
601,18.333333333333332,46.666666666666664,17.333333333333332
1860,12.0,13.0,0.0
1705,0.0,1.0,0.0
1479,0.0,1.0,0.0
723,5.0,6.0,0.0
1316,1.0,2.0,0.0
850,1.0,2.0,0.0
1083,8.0,9.0,0.0
79,12.0,25.5,10.0
261,15.0,28.0,0.0
591,26.0,38.5,0.0
1240,4.0,5.0,0.0
1304,1.0,15.5,0.0
409,1.0,2.0,0.0
724,7.0,8.0,0.0
9,10.0,20.0,0.0
769,13.0,14.0,0.0
392,13.0,14.0,0.0
1647,7.666666666666667,16.666666666666668,0.0
1267,32.0,44.0,0.0
1927,14.0,15.0,0.0
1943,6.5,21.5,0.0
1950,9.0,10.0,0.0
717,9.0,10.0,0.0
920,14.0,27.0,0.0
393,1.0,2.0,0.0
858,3.0,17.5,0.0
852,12.5,24.0,1.0
1926,38.333333333333336,55.0,0.0
208,21.0,34.5,0.0
211,8.0,9.0,0.0
541,7.0,8.0,0.0
373,5.0,6.0,0.0
1844,3.0,4.0,0.0
782,5.0,18.5,35.5
310,40.5,55.5,0.0
749,0.0,1.0,0.0
1636,30.5,42.5,0.0
99,37.5,52.5,0.0
948,6.0,7.0,0.0
1117,2.0,3.0,0.0
894,8.0,9.0,0.0
1236,0.0,1.0,0.0
969,2.0,3.0,0.0
1034,2.0,3.0,0.0
346,30.0,43.0,0.0
1924,32.0,46.5,0.0
461,2.0,3.0,0.0
2046,12.0,13.0,0.0
2023,5.0,21.0,5.5
1060,43.0,59.5,0.0
1425,7.0,8.0,0.0
560,15.0,16.0,0.0
273,7.0,8.0,0.0
1969,37.5,49.5,0.0
288,1.0,2.0,0.0
1970,4.0,5.0,0.0
836,4.0,5.0,0.0
1534,4.5,18.5,2.0
332,16.0,17.0,0.0
994,12.0,13.0,0.0
1840,47.5,63.5,0.0
435,32.0,44.0,0.0
1460,5.0,6.0,0.0
1417,6.0,7.0,0.0
1076,3.0,4.0,0.0
1153,5.0,6.0,0.0
996,9.0,10.0,0.0
1162,12.0,13.0,0.0
562,4.0,17.5,0.0
1566,13.0,14.0,0.0
968,15.0,16.0,0.0
1450,10.0,11.0,0.0
589,16.0,24.333333333333332,0.0
810,13.0,14.0,0.0
835,12.0,24.5,0.0
1041,15.0,16.0,0.0
928,9.0,10.0,0.0
1812,2.0,3.0,0.0
964,14.0,15.0,0.0
1303,6.0,22.5,0.0
421,10.0,11.0,15.0
1058,27.5,40.0,0.0
1616,5.0,6.0,0.0
660,13.0,14.0,0.0
1068,6.0,7.0,13.0
1475,41.5,56.0,0.0
720,2.0,3.0,0.0
1359,18.5,33.0,0.0
1078,15.0,16.0,0.0
2026,12.0,13.0,0.0
1281,11.0,12.0,0.0
1019,14.0,15.0,9.0
1340,2.0,3.0,0.0
340,5.0,6.0,2.0
1442,7.0,18.5,0.0
1382,8.0,9.0,0.0
1250,13.0,14.0,0.0
1356,13.5,30.0,0.0
1754,19.5,32.0,0.0
659,8.0,9.0,0.0
780,16.0,17.0,0.0
1742,10.0,11.0,0.0
1643,10.0,29.0,23.0
779,17.0,18.0,0.0
1913,7.0,8.0,0.0
543,11.0,30.0,0.0
1664,12.0,25.0,0.0
376,3.5,18.0,10.5
1368,16.0,17.0,0.0
1126,1.0,14.5,0.0
1413,11.0,12.0,0.0
1136,7.0,8.0,0.0
148,6.0,22.0,0.0
420,9.0,10.0,5.0
91,3.0,4.0,0.0
1134,27.5,40.0,17.0
1308,18.0,32.5,0.0
1568,39.5,55.5,0.0
742,30.0,49.5,0.0
707,10.0,11.0,0.0
1384,45.0,62.5,0.0
152,20.0,21.0,0.0
482,28.5,46.0,0.0
1919,6.0,7.0,4.0
565,10.0,11.0,0.0
1174,20.0,21.0,0.0
165,6.0,7.0,0.0
895,18.0,19.0,0.0
1750,16.0,32.5,2.5
2040,4.0,5.0,0.0
1819,4.0,5.0,8.0
1912,22.5,35.5,0.0
1409,0.0,1.0,11.0
1783,1.0,2.0,0.0
789,3.0,4.0,12.0
192,24.0,25.0,0.0
1666,3.0,4.0,25.0
1965,20.0,21.0,9.0
1741,15.0,16.0,0.0
1064,7.0,8.0,0.0
1294,9.5,26.5,0.5
64,19.0,37.5,0.0
391,12.5,27.0,0.0
1012,15.0,16.0,15.0
1027,11.0,12.0,19.0
839,11.0,12.0,0.0
1086,11.0,12.0,18.0
795,14.0,15.0,0.0
537,40.0,53.0,0.0
833,22.0,23.0,0.0
497,12.0,13.0,0.0
2004,11.0,12.0,0.0
1537,16.0,28.333333333333332,0.0
1798,12.0,13.0,9.0
1759,18.5,39.5,5.0
574,24.5,51.5,15.0
691,2.0,3.0,16.0
947,14.0,15.0,24.0
807,20.0,21.0,0.0
974,6.0,7.0,0.0
1588,0.0,1.0,4.0
53,8.0,9.0,0.0
1859,19.0,20.0,0.0
1248,12.0,13.0,0.0
1256,45.0,69.0,5.5
1631,3.0,4.0,0.0
358,11.0,12.0,0.0
1127,7.0,8.0,0.0
1857,16.5,42.0,9.0
123,11.0,12.0,16.0
1397,7.0,8.0,0.0
1934,13.5,30.0,0.0
130,10.666666666666666,21.333333333333332,0.0
1151,0.0,1.0,0.0
508,28.666666666666668,55.666666666666664,10.333333333333334
286,14.0,15.0,13.0
1863,13.0,14.0,0.0
459,6.5,25.5,0.0
675,28.0,29.0,0.0
870,19.666666666666668,40.0,3.6666666666666665
827,11.0,12.0,0.0
356,0.0,1.0,0.0
538,18.5,43.0,12.5
522,12.0,13.0,14.0
1451,8.0,9.0,0.0
1722,9.0,10.0,0.0
1489,4.0,5.0,0.0
2035,2.0,3.0,0.0
890,8.0,9.0,0.0
1,46.0,62.5,0.0
1219,6.0,7.0,0.0
100,6.0,7.0,0.0
1243,10.0,11.0,0.0
233,18.0,19.0,2.0
465,21.0,22.0,0.0
642,25.5,46.0,0.0
944,15.0,16.0,20.0
1745,1.0,18.0,0.0
1773,7.0,8.0,0.0
1398,33.5,52.0,0.0
1071,11.0,12.0,0.0
578,4.0,20.0,0.0
1766,26.5,48.0,0.0
1327,15.0,16.0,0.0
1836,12.0,13.0,0.0
1347,21.0,22.0,0.0
269,25.5,57.5,17.0
473,2.0,3.0,0.0
331,27.0,28.0,0.0
602,6.0,7.0,0.0
67,5.5,22.5,0.0
352,23.0,24.0,5.0
1639,22.0,23.0,8.0
899,13.0,14.0,0.0
1490,49.0,69.5,0.0
266,19.0,20.0,1.0
573,45.0,64.0,0.0
2000,13.0,36.0,2.5
171,17.5,36.0,0.0
20,29.5,49.5,2.5
680,21.0,22.0,24.0
528,28.0,29.0,0.0
583,13.0,14.0,0.0
1964,24.0,25.0,0.0
902,6.0,40.0,21.0
1024,25.0,26.0,0.0
54,20.0,21.0,0.0
1271,18.0,19.0,0.0
606,25.0,26.0,10.0
1905,22.0,23.0,0.0
1466,41.5,70.0,15.5
605,0.0,1.0,0.0
607,13.0,14.0,0.0
889,6.0,7.0,0.0
1577,25.0,26.0,0.0
1195,14.0,15.0,22.0
177,18.5,38.5,0.0
76,7.0,8.0,0.0
2033,3.5,20.5,0.0
387,14.0,15.0,0.0
367,20.0,38.0,0.5
448,8.0,9.0,10.0
408,15.0,16.0,0.0
1114,18.0,19.0,10.0
592,22.0,23.0,0.0
982,5.0,6.0,0.0
653,14.0,15.0,20.0
613,24.0,25.0,0.0
1676,14.0,33.0,0.0
1447,8.0,29.0,1.0
1789,14.0,15.0,0.0
1067,2.0,3.0,0.0
1501,12.0,13.0,18.0
806,20.0,21.0,0.0
1929,22.0,23.0,16.0
534,7.0,8.0,19.0
189,10.0,31.0,3.0
1678,18.0,19.0,0.0
77,18.0,19.0,40.0
430,21.0,22.0,10.0
1895,5.0,6.0,52.0
662,11.0,12.0,24.0
262,28.0,57.0,12.5
1326,21.0,22.0,0.0
1050,17.0,18.0,0.0
564,32.0,33.0,0.0
871,2.0,3.0,54.0
258,12.0,13.0,0.0
2057,16.0,17.0,0.0
1023,27.0,65.0,15.5
49,13.0,14.0,28.0
1331,17.0,18.0,6.0
617,26.0,46.5,0.0
2009,6.0,7.0,7.0
761,26.0,27.0,0.0
1993,4.0,5.0,0.0
855,8.0,9.0,0.0
357,10.5,56.5,33.0
921,5.0,6.0,49.0
1033,19.0,20.0,0.0
1055,18.0,19.0,35.0
576,21.0,22.0,12.0
157,24.0,25.0,6.0
1703,3.0,33.5,13.0
335,9.0,10.0,8.0
940,11.0,12.0,47.0
146,6.0,7.0,36.0
1477,14.0,15.0,25.0
1074,23.0,24.0,1.0
1149,24.0,25.0,31.0
1747,9.0,10.0,45.0
1247,23.0,24.0,25.0
1063,1.0,2.0,71.0
1959,15.0,16.0,42.0
973,16.0,17.0,31.0
1729,13.0,14.0,65.0
713,19.0,72.5,36.0
1344,21.0,22.0,62.0
1838,2.0,3.0,67.0
1586,20.5,76.5,38.5
513,17.0,18.0,78.0
1607,8.0,9.0,104.0
183,4.0,5.0,85.0
1858,17.5,75.5,39.0
1320,14.0,15.0,105.0
total,20.74613003095975,33.582043343653254,8.142414860681114
